player_name,player_code,image_url,profile_url
bryant-dunston,003048,https://media-cdn.cortextech.io/e3c4915b-e70f-4813-9bdb-43bbbc606e33.png,https://www.euroleaguebasketball.net/es/euroleague/players/bryant-dunston/003048/
amit-ebo,006020,,https://www.euroleaguebasketball.net/es/euroleague/players/amit-ebo/006020/
paul-eboua,006725,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCaiEI5/35a1208a-b3d4-415c-9c87-2e475552904e.png,https://www.euroleaguebasketball.net/es/euroleague/players/paul-eboua/006725/
carsen-edwards,011987,https://media-cdn.cortextech.io/1f0da376-0fcd-4071-88cc-d7dc6ac40243.png,https://www.euroleaguebasketball.net/es/euroleague/players/carsen-edwards/011987/
kessler-edwards,014416,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCbqcoI/c4e6ee39-c037-4d5e-be9f-0ddde3bc2b0e.png,https://www.euroleaguebasketball.net/es/euroleague/players/kessler-edwards/014416/
quinn-ellis,012593,https://media-cdn.cortextech.io/52c3b65f-2faf-4727-9931-a53b8607a412.png,https://www.euroleaguebasketball.net/es/euroleague/players/quinn-ellis/012593/
moustapha-fall,008811,https://media-cdn.cortextech.io/bc0bef29-4444-425d-97f1-cdb9ae9acb5d.png,https://www.euroleaguebasketball.net/es/euroleague/players/moustapha-fall/008811/
youssoupha-fall,006568,https://media-cdn.cortextech.io/d1ddd241-43e3-4ae0-bfd7-e382bbeb97a6.png,https://www.euroleaguebasketball.net/es/euroleague/players/youssoupha-fall/006568/
kenneth-faried,011284,https://media-cdn.cortextech.io/fbabd4a4-b08e-456e-b82a-c31a44ca371a.png,https://www.euroleaguebasketball.net/es/euroleague/players/kenneth-faried/011284/
mouhamed-faye,012403,https://media-cdn.cortextech.io/5495af48-c312-4958-a64d-f20e82c38f1e.png,https://www.euroleaguebasketball.net/es/euroleague/players/mouhamed-faye/012403/
andres-feliz,011247,https://media-cdn.cortextech.io/88b1e489-c8a9-4cd8-8137-db11145b579a.png,https://www.euroleaguebasketball.net/es/euroleague/players/andres-feliz/011247/
ruzgar-fenemen,013422,https://media-cdn.cortextech.io/d508fd95-92a2-4090-82f2-5709a03857dc.png,https://www.euroleaguebasketball.net/es/euroleague/players/ruzgar-fenemen/013422/
bruno-fernando,013667,https://media-cdn.cortextech.io/771c73d1-4537-447b-b668-043882902961.png,https://www.euroleaguebasketball.net/es/euroleague/players/bruno-fernando/013667/
francesco-ferrari,014219,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCaiEI5/520ad414-9a5e-429d-a2dd-79f96bfbbb10.png,https://www.euroleaguebasketball.net/es/euroleague/players/francesco-ferrari/014219/
diego-ferreras,014129,https://media-cdn.cortextech.io/8d81e4f7-7f57-43ff-a52f-dbb019d111d9.png,https://www.euroleaguebasketball.net/es/euroleague/players/diego-ferreras/014129/
kilian-fischer,013579,,https://www.euroleaguebasketball.net/es/euroleague/players/kilian-fischer/013579/
diego-flaccadori,005670,https://media-cdn.cortextech.io/1d2df160-ebfd-4d2e-b65f-eafbcf8ccf97.png,https://www.euroleaguebasketball.net/es/euroleague/players/diego-flaccadori/005670/
trent-forrest,013367,https://media-cdn.cortextech.io/a329afc2-80e5-4cee-a08d-34c5d734cb3e.png,https://www.euroleaguebasketball.net/es/euroleague/players/trent-forrest/013367/
evan-fournier,013380,https://media-cdn.cortextech.io/948551c5-285e-44d1-8a50-35cd9b019e97.png,https://www.euroleaguebasketball.net/es/euroleague/players/evan-fournier/013380/
sylvain-francisco,007975,https://media-cdn.cortextech.io/bab9d21f-1fbd-401a-8b26-f9b350a4c47d.png,https://www.euroleaguebasketball.net/es/euroleague/players/sylvain-francisco/007975/
